restaurant,day_of_week,open_time,close_time
9000c239-61ab-4837-8ecc-86c8cdf51941,1,09:00,22:00
9000c239-61ab-4837-8ecc-86c8cdf51941,2,09:00,22:00
9000c239-61ab-4837-8ecc-86c8cdf51941,3,09:00,22:00
9000c239-61ab-4837-8ecc-86c8cdf51941,4,09:00,22:00
9000c239-61ab-4837-8ecc-86c8cdf51941,5,09:00,23:00
9000c239-61ab-4837-8ecc-86c8cdf51941,6,10:00,23:30
9000c239-61ab-4837-8ecc-86c8cdf51941,7,10:00,21:30
34a6ea30-c364-498c-9fcb-c43455db2c5c,1,11:00,23:00
34a6ea30-c364-498c-9fcb-c43455db2c5c,2,11:00,23:00
34a6ea30-c364-498c-9fcb-c43455db2c5c,3,11:00,23:00
34a6ea30-c364-498c-9fcb-c43455db2c5c,4,11:00,23:00
34a6ea30-c364-498c-9fcb-c43455db2c5c,5,11:00,23:30
34a6ea30-c364-498c-9fcb-c43455db2c5c,6,12:00,23:30
34a6ea30-c364-498c-9fcb-c43455db2c5c,7,12:00,22:30
02a9239d-1108-4044-86ad-c9c51db84a75,1,08:00,22:00
02a9239d-1108-4044-86ad-c9c51db84a75,2,08:00,22:00
02a9239d-1108-4044-86ad-c9c51db84a75,3,08:00,22:00
02a9239d-1108-4044-86ad-c9c51db84a75,4,08:00,22:00
02a9239d-1108-4044-86ad-c9c51db84a75,5,08:00,23:00
02a9239d-1108-4044-86ad-c9c51db84a75,6,09:00,23:30
02a9239d-1108-4044-86ad-c9c51db84a75,7,09:00,21:00
