id,restaurant,name,description,price,category,is_veg,is_available,preparation_time_in_minutes,tags

a1b2c3d4-5678-90ab-cdef-123456789abc,2cca97e8-1671-4021-af3b-1349b81765b8,Chicken Kebab,Grilled spicy chicken kebab,220.00,STARTER,False,True,25,"[""grill"",""starter""]"
b2c3d4e5-6789-0abc-def1-23456789abcd,2cca97e8-1671-4021-af3b-1349b81765b8,Veg Spring Rolls,Crispy vegetable rolls,150.00,STARTER,True,True,20,"[""crispy"",""veg""]"
c3d4e5f6-789a-bcde-f123-3456789abcde,2cca97e8-1671-4021-af3b-1349b81765b8,Chicken Biryani,Hyderabadi dum biryani,260.00,RICE_AND_BIRYANI,False,True,30,"[""biryani"",""spicy""]"
d4e5f6a7-89ab-cdef-2345-456789abcdef,2cca97e8-1671-4021-af3b-1349b81765b8,Mutton Biryani,Rich mutton biryani,320.00,RICE_AND_BIRYANI,False,True,35,"[""biryani"",""mutton""]"
e5f6a7b8-9abc-def0-3456-56789abcdef0,2cca97e8-1671-4021-af3b-1349b81765b8,Butter Naan,Soft butter naan,40.00,BREADS,True,True,10,"[""bread"",""tandoor""]"
f6a7b8c9-abcd-ef01-4567-6789abcdef01,2cca97e8-1671-4021-af3b-1349b81765b8,Paneer Butter Masala,Creamy paneer curry,240.00,MAIN_COURSE,True,True,25,"[""paneer"",""veg""]"
a7b8c9da-bcde-f012-5678-789abcdef012,2cca97e8-1671-4021-af3b-1349b81765b8,Chicken Curry,Spicy chicken gravy,250.00,MAIN_COURSE,False,True,30,"[""curry"",""spicy""]"
b8c9dadb-cdef-0123-6789-89abcdef0123,2cca97e8-1671-4021-af3b-1349b81765b8,Lassi,Sweet yogurt drink,80.00,BEVERAGES,True,True,10,"[""drink"",""sweet""]"

c9dadbdc-def0-1234-789a-9abcdef01234,f3f5328b-eef1-474c-b79b-9d1f342d2032,Spring Rolls,Crispy veg rolls,120.00,STARTER,True,True,15,"[""starter"",""crispy""]"
